Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
Condition1_RRAe,-883.3358807984494,-0.0,-0.0,-0.0
Condition1_RRAn,0.0,0.0,0.0,0.0
Condition1_RRNe,-0.0,-0.0,-0.0,-0.0
Condition1_RRNn,-0.0,-0.0,-0.0,-0.0
Condition2_Artery,-0.0,-0.0,-0.0,-0.0
Condition2_Feedr,0.0,0.0,-0.0,-0.0
Condition2_Norm,0.0,0.0,0.0,0.0
Condition2_PosA,-0.0,-0.0,-0.0,-0.0
Condition2_PosN,-0.0,-0.0,-0.0,-0.0
BldgType_1Fam,5157.181993330155,5809.496762600029,5515.150319922183,5533.690012151725
BldgType_2fmCon,-0.0,-0.0,-0.0,-0.0
BldgType_Duplex,-0.0,-0.0,-0.0,-0.0
BldgType_Twnhs,-0.0,-0.0,-0.0,-0.0
BldgType_TwnhsE,0.0,0.0,0.0,0.0
HouseStyle_1.5Fin,-0.0,-0.0,-0.0,-0.0
HouseStyle_1.5Unf,0.0,0.0,0.0,0.0
HouseStyle_1Story,0.0,0.0,0.0,0.0
HouseStyle_2.5Unf,-0.0,-0.0,-0.0,-0.0
HouseStyle_2Story,-1370.8044277929998,-344.0494257708379,-0.0,0.0
HouseStyle_SFoyer,-0.0,-0.0,-0.0,-0.0
HouseStyle_SLvl,247.17172504692388,0.0,0.0,0.0
RoofStyle_Flat,-0.0,-0.0,-0.0,-0.0
RoofStyle_Gable,-288.84812933599034,-65.62277632461017,-0.0,-0.0
RoofStyle_Gambrel,0.0,0.0,0.0,0.0
RoofStyle_Hip,-0.0,0.0,0.0,0.0
RoofStyle_Mansard,0.0,0.0,0.0,0.0
RoofStyle_Shed,0.0,0.0,0.0,-0.0
RoofMatl_CompShg,-0.0,-0.0,-0.0,-0.0
RoofMatl_Tar&Grv,-4610.853475709309,-1097.555882627899,-0.0,-0.0
RoofMatl_WdShake,0.0,0.0,0.0,-0.0
RoofMatl_WdShngl,26427.313365411574,21532.539956983404,0.0,0.0
Exterior1st_AsbShng,-0.0,-0.0,-0.0,-0.0
Exterior1st_AsphShn,0.0,0.0,0.0,0.0
Exterior1st_BrkComm,-0.0,-0.0,-0.0,-0.0
Exterior1st_BrkFace,12728.03176769233,12434.993105455249,9152.494891087636,5927.023448920325
Exterior1st_CBlock,-0.0,-0.0,-0.0,-0.0
Exterior1st_CemntBd,0.0,0.0,0.0,0.0
Exterior1st_HdBoard,-308.52042481354977,-0.0,-0.0,0.0
Exterior1st_ImStucc,-0.0,-0.0,-0.0,0.0
Exterior1st_MetalSd,48.688246371827525,0.0,0.0,-0.0
Exterior1st_Plywood,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stone,-0.0,-0.0,-0.0,-0.0
Exterior1st_Stucco,0.0,0.0,0.0,0.0
Exterior1st_VinylSd,0.0,0.0,0.0,0.0
Exterior1st_Wd Sdng,-1279.4078170648038,-967.4122218003395,-462.5335100495829,-278.11432775037673
Exterior1st_WdShing,0.0,0.0,0.0,0.0
Exterior2nd_AsbShng,-0.0,-0.0,-0.0,-0.0
Exterior2nd_AsphShn,0.0,0.0,0.0,0.0
Exterior2nd_Brk Cmn,0.0,0.0,0.0,0.0
Exterior2nd_BrkFace,-0.0,-0.0,0.0,0.0
Exterior2nd_CBlock,-0.0,-0.0,-0.0,-0.0
Exterior2nd_CmentBd,-0.0,-0.0,0.0,0.0
Exterior2nd_HdBoard,-913.7554796687633,-431.12891753627156,-0.0,-0.0
Exterior2nd_ImStucc,0.0,0.0,0.0,0.0
Exterior2nd_MetalSd,0.0,0.0,0.0,-0.0
Exterior2nd_Other,-0.0,-0.0,-0.0,0.0
Exterior2nd_Plywood,-2212.154567830811,-1597.7857518135108,-947.5984270686748,-141.79281550474445
Exterior2nd_Stone,-0.0,-0.0,-0.0,-0.0
Exterior2nd_Stucco,0.0,-0.0,-0.0,-0.0
